gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,at,emp,ni,revt,costat
001327,2016-09-30,2016,INDL,C,D,STD,SWKS,USD,3855.4000,7.3000,995.2000,3289.0000,A
001327,2017-09-30,2017,INDL,C,D,STD,SWKS,USD,4573.6000,8.4000,1010.2000,3651.4000,A
001327,2018-09-30,2018,INDL,C,D,STD,SWKS,USD,4828.9000,9.4000,918.4000,3868.0000,A
001327,2019-09-30,2019,INDL,C,D,STD,SWKS,USD,4839.6000,9.0000,853.6000,3376.8000,A
001380,2009-12-31,2009,INDL,C,D,STD,HES,USD,29465.0000,13.3000,740.0000,29614.0000,A
001380,2010-12-31,2010,INDL,C,D,STD,HES,USD,35396.0000,13.8000,2125.0000,33862.0000,A
001380,2011-12-31,2011,INDL,C,D,STD,HES,USD,39136.0000,14.3500,1703.0000,38466.0000,A
001380,2012-12-31,2012,INDL,C,D,STD,HES,USD,43441.0000,14.7750,2025.0000,37691.0000,A
001380,2013-12-31,2013,INDL,C,D,STD,HES,USD,42754.0000,12.2250,5052.0000,22284.0000,A
001380,2014-12-31,2014,INDL,C,D,STD,HES,USD,38578.0000,3.0450,2317.0000,10737.0000,A
001380,2015-12-31,2015,INDL,C,D,STD,HES,USD,34195.0000,2.7700,-3056.0000,6636.0000,A
001380,2016-12-31,2016,INDL,C,D,STD,HES,USD,28621.0000,2.3040,-6132.0000,4762.0000,A
001380,2017-12-31,2017,INDL,C,D,STD,HES,USD,23112.0000,2.0750,-4074.0000,5466.0000,A
001380,2018-12-31,2018,INDL,C,D,STD,HES,USD,21433.0000,1.7080,-282.0000,6323.0000,A
001380,2019-12-31,2019,INDL,C,D,STD,HES,USD,21782.0000,1.7750,-408.0000,6495.0000,A
001440,2009-12-31,2009,INDL,C,D,STD,AEP,USD,48348.0000,21.6730,1360.0000,13489.0000,A
001440,2010-12-31,2010,INDL,C,D,STD,AEP,USD,50455.0000,18.7120,1214.0000,14427.0000,A
001440,2011-12-31,2011,INDL,C,D,STD,AEP,USD,52223.0000,18.7100,1946.0000,15116.0000,A
001440,2012-12-31,2012,INDL,C,D,STD,AEP,USD,54367.0000,18.5130,1259.0000,14945.0000,A
001440,2013-12-31,2013,INDL,C,D,STD,AEP,USD,56414.0000,18.5210,1480.0000,15357.0000,A
001440,2014-12-31,2014,INDL,C,D,STD,AEP,USD,59633.0000,18.5290,1634.0000,17020.0000,A
001440,2015-12-31,2015,INDL,C,D,STD,AEP,USD,61683.1000,17.4050,2047.1000,16453.2000,A
001440,2016-12-31,2016,INDL,C,D,STD,AEP,USD,63467.7000,17.6340,610.9000,16380.1000,A
001440,2017-12-31,2017,INDL,C,D,STD,AEP,USD,64729.1000,17.6660,1912.6000,15424.9000,A
001440,2018-12-31,2018,INDL,C,D,STD,AEP,USD,68802.8000,17.5820,1923.8000,16195.7000,A
001440,2019-12-31,2019,INDL,C,D,STD,AEP,USD,75892.3000,17.4080,1921.1000,15561.4000,A
001447,2009-12-31,2009,INDL,C,D,STD,AXP,USD,124088.0000,58.3000,2130.0000,26519.0000,A
001447,2010-12-31,2010,INDL,C,D,STD,AXP,USD,147042.0000,61.0000,4057.0000,30242.0000,A
001447,2011-12-31,2011,INDL,C,D,STD,AXP,USD,153337.0000,62.5000,4935.0000,32282.0000,A
001447,2012-12-31,2012,INDL,C,D,STD,AXP,USD,153140.0000,63.5000,4482.0000,33808.0000,A
001447,2013-12-31,2013,INDL,C,D,STD,AXP,USD,153375.0000,62.8000,5359.0000,34932.0000,A
001447,2014-12-31,2014,INDL,C,D,STD,AXP,USD,159103.0000,54.0000,5885.0000,35280.0000,A
001447,2015-12-31,2015,INDL,C,D,STD,AXP,USD,161184.0000,54.8000,5163.0000,34441.0000,A
001447,2016-12-31,2016,INDL,C,D,STD,AXP,USD,158893.0000,56.4000,5408.0000,33823.0000,A
001447,2017-12-31,2017,INDL,C,D,STD,AXP,USD,181159.0000,55.0000,2736.0000,35583.0000,A
001447,2018-12-31,2018,INDL,C,D,STD,AXP,USD,188602.0000,59.0000,6921.0000,43281.0000,A
001447,2019-12-31,2019,INDL,C,D,STD,AXP,USD,198321.0000,64.5000,6759.0000,47020.0000,A
001449,2009-12-31,2009,INDL,C,D,STD,AFL,USD,84106.0000,8.0570,1497.0000,18237.0000,A
001449,2010-12-31,2010,INDL,C,D,STD,AFL,USD,101039.0000,7.9190,2344.0000,20732.0000,A
001449,2011-12-31,2011,INDL,C,D,STD,AFL,USD,117102.0000,8.5620,1964.0000,22171.0000,A
001449,2012-12-31,2012,INDL,C,D,STD,AFL,USD,131094.0000,8.9650,2866.0000,25364.0000,A
001449,2013-12-31,2013,INDL,C,D,STD,AFL,USD,121307.0000,9.1410,3158.0000,23939.0000,A
001449,2014-12-31,2014,INDL,C,D,STD,AFL,USD,119767.0000,9.5250,2951.0000,22728.0000,A
001449,2015-12-31,2015,INDL,C,D,STD,AFL,USD,118296.0000,9.9150,2533.0000,20904.0000,A
001449,2016-12-31,2016,INDL,C,D,STD,AFL,USD,129819.0000,10.2120,2659.0000,22374.0000,A
001449,2017-12-31,2017,INDL,C,D,STD,AFL,USD,137217.0000,11.3180,4604.0000,21700.0000,A
001449,2018-12-31,2018,INDL,C,D,STD,AFL,USD,140406.0000,11.3900,2920.0000,21768.0000,A
001449,2019-12-31,2019,INDL,C,D,STD,AFL,USD,152768.0000,11.7290,3304.0000,22369.0000,A
001487,2009-12-31,2009,INDL,C,D,STD,AIG,USD,847585.0000,96.0000,-10949.0000,97260.0000,A
001487,2010-12-31,2010,INDL,C,D,STD,AIG,USD,683443.0000,63.0000,7786.0000,76791.0000,A
001487,2011-12-31,2011,INDL,C,D,STD,AIG,USD,555773.0000,57.0000,17798.0000,64353.0000,A
001487,2012-12-31,2012,INDL,C,D,STD,AIG,USD,548633.0000,63.0000,3438.0000,65890.0000,A
001487,2013-12-31,2013,INDL,C,D,STD,AIG,USD,541329.0000,64.0000,9085.0000,67375.0000,A
001487,2014-12-31,2014,INDL,C,D,STD,AIG,USD,515581.0000,65.0000,7529.0000,63004.0000,A
001487,2015-12-31,2015,INDL,C,D,STD,AIG,USD,496943.0000,66.4000,2196.0000,57817.0000,A
001487,2016-12-31,2016,INDL,C,D,STD,AIG,USD,498264.0000,56.4000,-849.0000,53549.0000,A
001487,2017-12-31,2017,INDL,C,D,STD,AIG,USD,498301.0000,49.8000,-6084.0000,49004.0000,A
001487,2018-12-31,2018,INDL,C,D,STD,AIG,USD,491984.0000,49.6000,-6.0000,47560.0000,A
001487,2019-12-31,2019,INDL,C,D,STD,AIG,USD,525064.0000,46.0000,3348.0000,49310.0000,A
001598,2009-12-31,2009,INDL,C,D,STD,AME,USD,3246.0320,10.1000,205.7700,2098.3550,A
001598,2010-12-31,2010,INDL,C,D,STD,AME,USD,3818.9150,11.6000,283.9320,2470.9520,A
001598,2011-12-31,2011,INDL,C,D,STD,AME,USD,4319.4900,12.2000,384.4640,2989.9140,A
001598,2012-12-31,2012,INDL,C,D,STD,AME,USD,5190.0560,13.7000,459.1320,3334.2130,A
001598,2013-12-31,2013,INDL,C,D,STD,AME,USD,5877.9020,14.5000,516.9990,3594.1360,A
001598,2014-12-31,2014,INDL,C,D,STD,AME,USD,6420.9630,15.4000,584.4600,4021.9640,A
001598,2015-12-31,2015,INDL,C,D,STD,AME,USD,6664.5300,15.4000,590.8590,3974.2950,A
001598,2016-12-31,2016,INDL,C,D,STD,AME,USD,7100.6740,15.7000,512.1580,3840.0870,A
001598,2017-12-31,2017,INDL,C,D,STD,AME,USD,7796.0640,16.9000,681.4700,4300.1700,A
001598,2018-12-31,2018,INDL,C,D,STD,AME,USD,8662.2880,18.2000,777.9330,4845.8720,A
001598,2019-12-31,2019,INDL,C,D,STD,AME,USD,9844.5590,18.1000,861.2970,5158.5570,A
001602,2009-12-31,2009,INDL,C,D,STD,AMGN,USD,39629.0000,17.2000,4605.0000,14642.0000,A
001602,2010-12-31,2010,INDL,C,D,STD,AMGN,USD,43486.0000,17.4000,4627.0000,15053.0000,A
001602,2011-12-31,2011,INDL,C,D,STD,AMGN,USD,48871.0000,17.8000,3683.0000,15582.0000,A
001602,2012-12-31,2012,INDL,C,D,STD,AMGN,USD,54298.0000,18.0000,4345.0000,17265.0000,A
001602,2013-12-31,2013,INDL,C,D,STD,AMGN,USD,66125.0000,20.0000,5081.0000,18676.0000,A
001602,2014-12-31,2014,INDL,C,D,STD,AMGN,USD,69009.0000,17.9000,5158.0000,20063.0000,A
