PCOMMFEES,PEXECDIRPD,PDIRPENSN,ANNDIRRET,DIRMTGFEE,NUMMTGS,DIRSTK,DIRSTKAD,DIROPT,DIROPTAD,SALES,SALECHG,SALE3LS,SALE5LS,OIBD,OIBDCHG,OIBD3LS,OIBD5LS,PRETAX,NIBEX,NI,NICHG,NI3LS,NI5LS,NIAC,EPSEX,EPSEXCHG,EPSEX3LS,EPSEX5LS,EPSIN,EPSINCHG,COMMEQ,SEQ,ROEPER,ROEAVG,ASSETS,ASSETCHG,ROA,MKTVAL,DIVYIELD,PRCCF,PRCC,SHRSOUT,TRS1YR,TRS3YR,TRS5YR,EMPL,AJEX,BS_VOLATILITY,BS_YIELD,SRCDATE,GVKEY,YEAR,FYR,NAICS,CONAME,CUSIP,TICKER,SIC
1,0,0,24,0.9,12,0.9,0,,0,2637.279,-42.055,2.86,5.741,940.933,-14.657,-0.816,0.325,353.253,215.153,149.408,-52.138,-7.38,-2.853,149.408,2.53,-34.456,-7.339,-1.725,1.76,-52.174,2686.153,2686.153,8.01,8.298,8425.806,5.563,2.554,3081.838,4.767,34.09,34.09,91.255,-14.744,7.888,-0.726,7.2,1,0.28,3.657,2003-04-09,001075,2002,12,,PINNACLE WEST CAPITAL CORP,72348410,PNW,4911
1,0,0,27,1.2,10,0.9,0,,0,2817.852,6.847,-8.598,5.751,920.196,-2.204,-4.915,-0.569,336.136,230.576,240.579,61.021,-8.636,-1.808,240.579,2.53,0,-10.844,-2.49,2.64,50,2829.779,2829.779,8.148,8.36,9536.378,13.181,2.418,3652.826,4.31,40.02,40.02,91.288,23.513,-1.431,2.966,7.2,1,0.29,3.801,2004-04-14,001075,2003,12,,PINNACLE WEST CAPITAL CORP,72348410,PNW,4911
1,0,0,30,1.5,9,0.9,0,,0,2899.725,2.906,-13.953,3.654,907.364,-1.394,-6.288,-1.211,364.075,235.218,243.195,1.087,-10.434,-2.777,243.195,2.57,1.581,-12.68,-4.17,2.66,0.758,2950.196,2950.196,7.973,8.139,9896.747,3.779,2.377,4066.713,4.109,44.41,44.41,91.793,16.076,6.92,12.48,7.2,1,0.274,4.24,2005-04-11,001075,2004,12,,PINNACLE WEST CAPITAL CORP,72348410,PNW,4911
1,0,0,30,1.5,9,0.9,0,,0,2987.955,3.043,4.249,-4.134,1001.503,10.375,2.101,-1.321,350.055,223.163,176.267,-27.52,1.226,-5.892,176.267,2.31,-10.117,-2.987,-8.338,1.83,-31.203,3424.964,3424.964,6.516,7.001,11322.645,14.408,1.971,4093.691,4.655,41.35,41.35,99.057,-2.622,11.765,1.598,7.3,1,0.212,4.396,2006-04-10,001075,2005,12,,PINNACLE WEST CAPITAL CORP,72348410,PNW,4911
0,0,1,45,0,6,0.61,0,,0,7851.912,14.183,13.433,12.343,2168.794,12.022,12.372,11.662,1738.753,1239.057,1239.057,13.806,12.952,14.393,1239.057,1.47,15.294,15.161,16.163,1.47,15.294,3347.641,3347.641,37.013,37.83,6941.236,10.966,17.851,25395.08,1.901,30.375,30.375,418.026,-10.14,23.746,22.873,48.118,2,0.187,1.723,1993-03-05,001078,1992,12,334510,ABBOTT LABORATORIES,00282410,ABT,3845
0,0,1,50.004,0,6,0.79,0,,0,8407.843,7.08,10.934,11.236,2442.047,12.599,11.495,12.207,1943.23,1399.126,1399.126,12.919,13.152,13.22,1399.126,1.69,14.966,15.041,15.213,1.69,14.966,3674.929,3674.929,38.072,39.847,7688.569,10.767,18.197,24325.976,2.228,29.625,29.625,410.565,-0.073,11.873,22.317,49.659,2,0.191,1.694,1994-03-04,001078,1993,12,,ABBOTT LABORATORIES,00282410,ABT,3845
0,0,1,50.004,0,6,0.698,0,,0,9156.009,8.898,10.013,11.222,2654.711,8.708,11.097,11.674,2178.69,1516.683,1516.683,8.402,11.686,12.02,1516.683,1.87,10.651,13.617,14.206,1.87,10.651,4049.4,4049.4,37.455,39.27,8523.724,10.862,17.794,26207.01,2.268,32.625,32.625,401.64,12.944,0.47,16.42,49.464,2,0.188,1.84,1995-03-13,001078,1994,12,,ABBOTT LABORATORIES,00282410,ABT,3845
0,0,1,50.004,0,6,0.511,0,,0,10012.194,9.351,8.439,10.207,2949.327,11.098,10.79,10.853,2413.319,1688.7,1688.7,11.342,10.872,11.824,1688.7,2.12,13.369,12.981,13.816,2.12,13.369,4396.847,4396.847,38.407,39.987,9412.58,10.428,17.941,32771.654,1.97,41.625,41.625,393.654,30.317,13.723,15.56,50.241,2,0.183,2.132,1996-03-11,001078,1995,12,,ABBOTT LABORATORIES,00282410,ABT,3845
0,0,1,50.004,0,7,0.537,0,,0,11013.46,10,9.416,9.878,3340.146,13.251,11.004,11.524,2685.55,1882.033,1882.033,11.449,10.388,11.57,1882.033,2.41,13.679,12.558,13.58,2.41,13.679,4820.182,4820.182,39.045,40.838,11125.6,18.199,16.916,39303.287,1.833,50.75,50.75,387.225,24.508,22.374,10.475,52.817,2,0.174,2.155,1997-03-11,001078,1996,12,,ABBOTT LABORATORIES,00282410,ABT,3845
0,0,1,50.004,0,6,0.373,0,,0,11883.462,7.899,9.08,8.641,3578.18,7.126,10.463,10.532,2960.946,2094.462,2094.462,11.287,11.359,11.07,2094.462,2.72,12.863,13.303,13.097,2.72,12.863,4998.677,4998.677,41.9,42.662,12061.068,8.408,17.365,50048.157,1.603,65.5,65.5,382.047,31.319,28.68,19.183,54.487,2,0.168,2.024,1998-03-10,001078,1997,12,,ABBOTT LABORATORIES,00282410,ABT,3845
