,tic,fyear
444,CHD,2013
445,CHD,2014
446,CHD,2015
447,CHD,2016
448,CHD,2017
449,CHD,2018
450,CHD,2019
451,CHD,2020
452,CTAS,2010
453,CTAS,2011
454,CTAS,2012
455,CTAS,2013
456,CTAS,2014
457,CTAS,2015
458,CTAS,2016
459,CTAS,2017
460,CTAS,2018
461,CTAS,2019
462,CLX,2011
463,CLX,2012
464,CLX,2013
465,CLX,2014
466,CLX,2015
467,CLX,2016
468,CLX,2017
469,CLX,2018
470,CLX,2019
471,CLX,2020
472,KO,2011
473,KO,2012
474,KO,2013
475,KO,2014
476,KO,2015
477,KO,2016
478,KO,2017
479,KO,2018
480,KO,2019
481,KO,2020
482,CL,2011
483,CL,2012
484,CL,2013
485,CL,2014
486,CL,2015
487,CL,2016
488,CL,2017
489,CL,2018
490,CL,2019
491,CL,2020
492,AON,2011
493,AON,2012
494,AON,2013
495,AON,2014
496,AON,2015
497,AON,2016
498,AON,2017
499,AON,2018
500,AON,2019
501,AON,2020
502,CMCSA,2011
503,CMCSA,2012
504,CMCSA,2013
505,CMCSA,2014
506,CMCSA,2015
507,CMCSA,2016
508,CMCSA,2017
509,CMCSA,2018
510,CMCSA,2019
511,CMCSA,2020
512,CMA,2011
513,CMA,2012
514,CMA,2013
515,CMA,2014
516,CMA,2015
517,CMA,2016
518,CMA,2017
519,CMA,2018
520,CMA,2019
521,CMA,2020
522,C,2011
523,C,2012
524,C,2013
525,C,2014
526,C,2015
527,C,2016
528,C,2017
529,C,2018
530,C,2019
531,C,2020
532,DXC,2010
533,DXC,2011
534,DXC,2012
535,DXC,2013
536,DXC,2014
537,DXC,2015
538,DXC,2016
539,DXC,2017
540,DXC,2018
541,DXC,2019
542,CAG,2010
543,CAG,2011
544,CAG,2012
545,CAG,2013
546,CAG,2014
547,CAG,2015
548,CAG,2016
549,CAG,2017
550,CAG,2018
551,CAG,2019
552,ED,2011
553,ED,2012
554,ED,2013
555,ED,2014
556,ED,2015
557,ED,2016
558,ED,2017
559,ED,2018
560,ED,2019
561,ED,2020
562,CMS,2011
563,CMS,2012
564,CMS,2013
565,CMS,2014
566,CMS,2015
567,CMS,2016
568,CMS,2017
569,CMS,2018
570,CMS,2019
571,CMS,2020
572,COO,2011
573,COO,2012
574,COO,2013
575,COO,2014
576,COO,2015
577,COO,2016
578,COO,2017
579,COO,2018
580,COO,2019
581,COO,2020
582,TAP,2011
583,TAP,2012
584,TAP,2013
585,TAP,2014
586,TAP,2015
587,TAP,2016
588,TAP,2017
589,TAP,2018
590,TAP,2019
591,TAP,2020
592,GLW,2011
593,GLW,2012
594,GLW,2013
595,GLW,2014
596,GLW,2015
597,GLW,2016
598,GLW,2017
599,GLW,2018
600,GLW,2019
601,GLW,2020
602,CMI,2011
603,CMI,2012
604,CMI,2013
605,CMI,2014
606,CMI,2015
607,CMI,2016
608,CMI,2017
609,CMI,2018
610,CMI,2019
611,CMI,2020
612,DHR,2011
613,DHR,2012
614,DHR,2013
615,DHR,2014
616,DHR,2015
617,DHR,2016
618,DHR,2017
619,DHR,2018
620,DHR,2019
621,DHR,2020
622,TGT,2010
623,TGT,2011
624,TGT,2012
625,TGT,2013
626,TGT,2014
627,TGT,2015
628,TGT,2016
629,TGT,2017
630,TGT,2018
631,TGT,2019
632,TGT,2020
633,DE,2011
634,DE,2012
635,DE,2013
636,DE,2014
637,DE,2015
638,DE,2016
639,DE,2017
640,DE,2018
641,DE,2019
642,DE,2020
643,DAL,2011
644,DAL,2012
645,DAL,2013
646,DAL,2014
647,DAL,2015
648,DAL,2016
649,DAL,2017
650,DAL,2018
651,DAL,2019
652,DAL,2020
653,DTE,2011
654,DTE,2012
655,DTE,2013
656,DTE,2014
657,DTE,2015
658,DTE,2016
659,DTE,2017
660,DTE,2018
661,DTE,2019
662,DTE,2020
663,DIS,2011
664,DIS,2012
665,DIS,2013
666,DIS,2014
667,DIS,2015
668,DIS,2016
669,DIS,2017
670,DIS,2018
671,DIS,2019
672,DIS,2020
673,DG,2010
674,DG,2011
675,DG,2012
676,DG,2013
677,DG,2014
678,DG,2015
679,DG,2016
680,DG,2017
681,DG,2018
682,DG,2019
683,DG,2020
684,D,2011
685,D,2012
686,D,2013
687,D,2014
688,D,2015
689,D,2016
690,D,2017
691,D,2018
692,D,2019
693,D,2020
694,DOV,2011
695,DOV,2012
696,DOV,2013
697,DOV,2014
698,DOV,2015
699,DOV,2016
700,DOV,2017
701,DOV,2018
702,DOV,2019
703,DOV,2020
704,DD,2011
705,DD,2012
706,DD,2013
707,DD,2014
708,DD,2015
709,DD,2016
710,DD,2017
711,DD,2018
712,DD,2019
713,DD,2020
714,OMC,2011
715,OMC,2012
716,OMC,2013
717,OMC,2014
718,OMC,2015
719,OMC,2016
720,OMC,2017
721,OMC,2018
722,OMC,2019
723,OMC,2020
724,DUK,2011
725,DUK,2012
726,DUK,2013
727,DUK,2014
728,DUK,2015
729,DUK,2016
730,DUK,2017
731,DUK,2018
732,DUK,2019
733,DUK,2020
734,PKI,2011
735,PKI,2012
736,PKI,2013
737,PKI,2014
738,PKI,2015
739,PKI,2016
740,PKI,2017
741,PKI,2018
742,PKI,2019
743,PKI,2020
744,ETN,2011
745,ETN,2012
746,ETN,2013
747,ETN,2014
748,ETN,2015
749,ETN,2016
750,ETN,2017
751,ETN,2018
752,ETN,2019
753,ETN,2020
754,ECL,2011
755,ECL,2012
756,ECL,2013
757,ECL,2014
758,ECL,2015
759,ECL,2016
760,ECL,2017
761,ECL,2018
762,ECL,2019
763,ECL,2020
764,EMR,2011
765,EMR,2012
766,EMR,2013
767,EMR,2014
768,EMR,2015
769,EMR,2016
770,EMR,2017
771,EMR,2018
772,EMR,2019
773,EMR,2020
774,ATO,2011
775,ATO,2012
776,ATO,2013
777,ATO,2014
778,ATO,2015
779,ATO,2016
780,ATO,2017
781,ATO,2018
782,ATO,2019
783,ATO,2020
784,EFX,2011
785,EFX,2012
786,EFX,2013
787,EFX,2014
