,GVKEY,TICKER,TOTAL_SEC,OTHCOMP,NONEQ_INCENT,CASH_FEES,STOCK_AWARDS,OPTION_AWARDS,SPCODE,CUSIP,CONAME,YEAR,YEAR_y,total_director_comp,total_OTHCOMP,total_NONEQ_INCENT,total_CASH_FEES,total_STOCK_AWARDS,total_OPTION_AWARDS,MKVALT,SIZE_CATEGORY,signature_index
51,1230,ALK,86.755,5.787,0.0,45.001,35.999,0.0,SP,01165910,ALASKA AIR GROUP INC,2011,2010,916.408,145.629,0.0,463.74,308.74300000000005,0.0,2663.8178,Medium,27fbe69971e18364425752dbc86987fe
52,1230,ALK,96.199,5.191,0.0,45.008,46.0,0.0,SP,01165910,ALASKA AIR GROUP INC,2012,2010,916.408,145.629,0.0,463.74,308.74300000000005,0.0,3032.5449,Medium,1b757f500e1b7221b98b824e72dec148
53,1230,ALK,98.994,7.994,0.0,45.046,45.954,0.0,SP,01165910,ALASKA AIR GROUP INC,2013,2010,916.408,145.629,0.0,463.74,308.74300000000005,0.0,5043.894,Medium,bc1a0e0990c548546a16f4b15a64e118
54,1230,ALK,121.742,1.742,0.0,45.092,74.908,0.0,SP,01165910,ALASKA AIR GROUP INC,2014,2010,916.408,145.629,0.0,463.74,308.74300000000005,0.0,7857.3046,Medium,5aafeba089f41b38e658421513081e02
55,1230,ALK,123.867,3.867,0.0,45.036,74.964,0.0,SP,01165910,ALASKA AIR GROUP INC,2015,2010,916.408,145.629,0.0,463.74,308.74300000000005,0.0,10077.8393,Big,13d63fcda10442a6a3c9c4f0b2e0b17d
56,1230,ALK,163.231,3.231,0.0,70.038,89.962,0.0,SP,01165910,ALASKA AIR GROUP INC,2016,2010,916.408,145.629,0.0,463.74,308.74300000000005,0.0,10942.8934,Big,5f3278245b016f7861ebaa06c671a7c6
57,1230,ALK,117.096,4.596,0.0,45.018,67.482,0.0,SP,01165910,ALASKA AIR GROUP INC,2017,2010,916.408,145.629,0.0,463.74,308.74300000000005,0.0,9046.2141,Medium,a4a364c43e04b6e306a019531f0c989c
58,1230,ALK,187.343,12.343,0.0,75.02,99.98,0.0,SP,01165910,ALASKA AIR GROUP INC,2018,2010,916.408,145.629,0.0,463.74,308.74300000000005,0.0,7496.3549,Medium,72c81d3d7e18ddc6f0d59d44f315d924
59,1230,ALK,178.883,3.883,0.0,75.023,99.977,0.0,SP,01165910,ALASKA AIR GROUP INC,2019,2010,916.408,145.629,0.0,463.74,308.74300000000005,0.0,8333.25,Medium,f13bdc96d1c78f8a3eb81a79a09d6ca5
60,1300,HON,244.401,1.201,0.0,188.5,0.0,54.7,SP,43851610,HONEYWELL INTERNATIONAL INC,2010,2010,2605.182,172.921,0.0,1837.667,0.0,492.3,41624.28,Big,419052c8bfaa57f8b31a72af079a7083
