,Unnamed: 0,total_director_comp,year,mkvalt,size_category,signature_index,net_income,num_employees,debt_to_equity,assets_in_place,capex_by_assets,return_on_equity
8247,8247,1567.118,2017,10.1206224278589,Medium,0f630d0ced42373460ca9f14185c4c85,,2.5649493574615367,18.97422751835943,0.0159898721635865,,
8248,8248,1567.118,2017,10.1206224278589,Medium,0f630d0ced42373460ca9f14185c4c85,,2.5649493574615367,18.97422751835943,0.0159898721635865,,
8249,8249,1567.118,2017,10.1206224278589,Medium,0f630d0ced42373460ca9f14185c4c85,,2.5649493574615367,18.97422751835943,0.0159898721635865,,
8250,8250,1567.118,2017,10.1206224278589,Medium,7931fa768faf687f062fcacd3bcda69c,,2.5649493574615367,18.97422751835943,0.0159898721635865,,
8251,8251,1567.118,2017,10.1206224278589,Medium,7931fa768faf687f062fcacd3bcda69c,,2.5649493574615367,18.97422751835943,0.0159898721635865,,
8252,8252,1567.118,2017,10.1206224278589,Medium,7931fa768faf687f062fcacd3bcda69c,,2.5649493574615367,18.97422751835943,0.0159898721635865,,
8253,8253,1567.118,2017,10.1206224278589,Medium,7931fa768faf687f062fcacd3bcda69c,,2.5649493574615367,18.97422751835943,0.0159898721635865,,
8254,8254,1567.118,2018,9.563028032254156,Medium,7952af8362c9140d8d75ec23bf38b456,,2.5649493574615367,21.222027972027973,0.0172148675806924,,
8255,8255,1567.118,2018,9.563028032254156,Medium,7952af8362c9140d8d75ec23bf38b456,,2.5649493574615367,21.222027972027973,0.0172148675806924,,
8256,8256,1567.118,2018,9.563028032254156,Medium,7952af8362c9140d8d75ec23bf38b456,,2.5649493574615367,21.222027972027973,0.0172148675806924,,
8257,8257,1567.118,2018,9.563028032254156,Medium,7952af8362c9140d8d75ec23bf38b456,,2.5649493574615367,21.222027972027973,0.0172148675806924,,
8258,8258,1567.118,2018,9.563028032254156,Medium,0d70e65d310f8071fb58ff5b2862e395,,2.5649493574615367,21.222027972027973,0.0172148675806924,,
8259,8259,1567.118,2018,9.563028032254156,Medium,0d70e65d310f8071fb58ff5b2862e395,,2.5649493574615367,21.222027972027973,0.0172148675806924,,
8260,8260,1567.118,2018,9.563028032254156,Medium,0d70e65d310f8071fb58ff5b2862e395,,2.5649493574615367,21.222027972027973,0.0172148675806924,,
8261,8261,1567.118,2018,9.563028032254156,Medium,0d70e65d310f8071fb58ff5b2862e395,,2.5649493574615367,21.222027972027973,0.0172148675806924,,
8262,8262,1567.118,2019,9.93526518261968,Medium,f27f8066d96e467b3a239165ee4f42ce,,2.5649493574615367,23.58652884294765,0.0171289075744219,,
8263,8263,1567.118,2019,9.93526518261968,Medium,f27f8066d96e467b3a239165ee4f42ce,,2.5649493574615367,23.58652884294765,0.0171289075744219,,
8264,8264,1567.118,2019,9.93526518261968,Medium,f27f8066d96e467b3a239165ee4f42ce,,2.5649493574615367,23.58652884294765,0.0171289075744219,,
8265,8265,1567.118,2019,9.93526518261968,Medium,f27f8066d96e467b3a239165ee4f42ce,,2.5649493574615367,23.58652884294765,0.0171289075744219,,
8266,8266,1567.118,2019,9.93526518261968,Medium,b861fcc40f285fcc7b371b00b7b51988,,2.5649493574615367,23.58652884294765,0.0171289075744219,,
8267,8267,1567.118,2019,9.93526518261968,Medium,b861fcc40f285fcc7b371b00b7b51988,,2.5649493574615367,23.58652884294765,0.0171289075744219,,
8268,8268,1567.118,2019,9.93526518261968,Medium,b861fcc40f285fcc7b371b00b7b51988,,2.5649493574615367,23.58652884294765,0.0171289075744219,,
