,GVKEY,TICKER,CEOANN,SALARY,BONUS,STOCK_AWARDS,OPTION_AWARDS,OTHCOMP,TOTAL_CURR,AGE,TDC1,YEAR,BECAMECEO,JOINED_CO,LEFTOFC,GENDER,CUSIP,NAICSDESC,SIC,MKVALT,SIZE_CATEGORY,signature_index
32,1161,AMD,CEO,1000.002,0.0,3744.848,1596.407,388.571,1000.002,51.0,7298.328,2012,2011-08-25,,2014-10-08,MALE,00790310,Semiconductor and Related Device Manufacturing,3674,1711.2,Tiny,71c089c35727ac0f0dc5c1974878a69c
33,1161,AMD,CEO,1000.002,0.0,4891.25,1582.411,32.827,1000.002,52.0,8211.49,2013,2011-08-25,,2014-10-08,MALE,00790310,Semiconductor and Related Device Manufacturing,3674,2805.75,Tiny,1beab4f56f3554ddd066dd182122dea9
34,1161,AMD,CEO,1000.002,0.0,5073.165,1617.085,39.293,1000.002,53.0,7729.545,2014,2011-08-25,,2014-10-08,MALE,00790310,Semiconductor and Related Device Manufacturing,3674,2071.92,Tiny,0b194c36cf3fe3d0315bd3c84fe830c2
35,1161,AMD,CEO,849.992,300.0,4438.124,1804.858,25.412,1149.992,45.0,6559.194,2015,2014-08-10,,,FEMALE,00790310,Semiconductor and Related Device Manufacturing,3674,2273.04,Tiny,bd0cb0bab35b634f4331700f36ede260
36,1161,AMD,CEO,886.34,0.0,7983.393,2408.12,14.266,886.34,46.0,11724.775,2016,2014-08-10,,,FEMALE,00790310,Semiconductor and Related Device Manufacturing,3674,10602.9,Tiny,a8818f2a211cf13cb82b839e5501cb65
37,1161,AMD,CEO,924.997,0.0,6980.74,1897.77,14.614,924.997,47.0,10894.82,2017,2014-08-10,,,FEMALE,00790310,Semiconductor and Related Device Manufacturing,3674,9940.76,Tiny,4e88f337f87671144e07372c968a3f55
38,1161,AMD,CEO,961.057,0.0,8622.801,2500.318,30.591,961.057,48.0,13356.393,2018,2014-08-10,,,FEMALE,00790310,Semiconductor and Related Device Manufacturing,3674,18552.3,Tiny,f5015186f796f56e29d90d8ff691a4e9
39,1161,AMD,CEO,1026.442,0.0,53176.357,3087.749,15.264,1026.442,49.0,58534.289,2019,2014-08-10,,,FEMALE,00790310,Semiconductor and Related Device Manufacturing,3674,53656.2,Tiny,787b7dab03b75844344cfd9bb496a16e
40,1209,APD,CEO,1200.0,0.0,3849.914,3653.323,162.688,1200.0,56.0,11620.529,2010,2008-01-01,1976-01-01,2014-07-01,MALE,00915810,Industrial Gas Manufacturing,2810,17707.1645,Tiny,cfc00846fcc640b70e8456da72eb4458
41,1209,APD,CEO,1200.0,0.0,4024.841,3457.048,142.91,1200.0,57.0,11383.764,2011,2008-01-01,1976-01-01,2014-07-01,MALE,00915810,Industrial Gas Manufacturing,2810,16051.8285,Tiny,f00a0ed4a2818e3915bdf6530b397914
42,1209,APD,CEO,1200.0,0.0,3599.997,3370.028,164.983,1200.0,58.0,9255.356,2012,2008-01-01,1976-01-01,2014-07-01,MALE,00915810,Industrial Gas Manufacturing,2810,17571.7652,Tiny,6f0c130e6c39ff802870421a316fa08e
43,1209,APD,CEO,1200.0,0.0,4062.39,3516.569,154.929,1200.0,59.0,9976.558,2013,2008-01-01,1976-01-01,2014-07-01,MALE,00915810,Industrial Gas Manufacturing,2810,22505.346,Tiny,b0d7716a36cf65defdb73a74cab08be6
44,1209,APD,CEO,904.615,1000.0,0.0,0.0,9843.778,1904.615,60.0,11768.072,2014,2008-01-01,1976-01-01,2014-07-01,MALE,00915810,Industrial Gas Manufacturing,2810,27798.507,Tiny,0e014ba0a25d37d09b8b216bce92e135
45,1209,APD,CEO,1200.0,0.0,6947.086,1505.563,184.385,1200.0,71.0,12958.113,2015,2014-07-01,,,MALE,00915810,Industrial Gas Manufacturing,2810,27475.5012,Tiny,6760fb7b2e20cb7dbfb523cb4bab7957
46,1209,APD,CEO,1200.0,0.0,6839.951,0.0,251.592,1200.0,72.0,11535.833,2016,2014-07-01,,,MALE,00915810,Industrial Gas Manufacturing,2810,32676.5493,Tiny,7db76340732999e56a346b01585ab49a
47,1209,APD,CEO,1200.0,0.0,9194.498,0.0,283.476,1200.0,73.0,13959.766,2017,2014-07-01,,,MALE,00915810,Industrial Gas Manufacturing,2810,33018.2821,Tiny,3654fec6574e57ec21c6066a3291162d
48,1209,APD,CEO,1309.615,0.0,9788.563,0.0,265.398,1309.615,74.0,13941.507,2018,2014-07-01,,,MALE,00915810,Industrial Gas Manufacturing,2810,36670.1478,Tiny,5fd728d0fd9e14b5fa3196065fad27f4
49,1209,APD,CEO,1350.0,0.0,12842.935,0.0,401.722,1350.0,75.0,17031.957,2019,2014-07-01,,,MALE,00915810,Industrial Gas Manufacturing,2810,48901.2719,Tiny,d1086d90f7d5909b4d18144d237f7abc
50,1230,ALK,CEO,395.385,0.0,1120.197,697.052,93.785,395.385,55.0,3051.7328,2010,2003-05-20,,2012-05-15,MALE,01165910,Scheduled Passenger Air Transportation,4512,2036.5316,Tiny,0f8ef335ff702785eb625a1da0ef1a04
51,1230,ALK,CEO,410.154,0.0,821.42,425.571,93.209,410.154,56.0,2303.931,2011,2003-05-20,,2012-05-15,MALE,01165910,Scheduled Passenger Air Transportation,4512,2663.8178,Tiny,8480fd73ef85995f317d6ef5073337eb
52,1230,ALK,CEO,419.614,0.0,3160.012,442.002,102.008,419.614,51.0,4226.832,2012,2012-05-15,,2021-03-31,MALE,01165910,Scheduled Passenger Air Transportation,4512,3032.5449,Tiny,78b23416be02ce54ca107b620f1a477b
