signature_index,total_director_comp
1e1e74636e0c56c03cc1ea3740b52f55,3693.762
1e1e74636e0c56c03cc1ea3740b52f55,3693.762
1e1e74636e0c56c03cc1ea3740b52f55,3693.762
1e1e74636e0c56c03cc1ea3740b52f55,3693.762
4b7fd3f2d03925f38719097cb6168a1a,4580.163
4b7fd3f2d03925f38719097cb6168a1a,4580.163
4b7fd3f2d03925f38719097cb6168a1a,4580.163
4b7fd3f2d03925f38719097cb6168a1a,4580.163
d2cff87323bf8b4240316f4912e17dda,4580.163
d2cff87323bf8b4240316f4912e17dda,4580.163
d2cff87323bf8b4240316f4912e17dda,4580.163
d2cff87323bf8b4240316f4912e17dda,4580.163
bbc7385e62df0d2df708792dbfb7dc9d,4580.163
bbc7385e62df0d2df708792dbfb7dc9d,4580.163
bbc7385e62df0d2df708792dbfb7dc9d,4580.163
bbc7385e62df0d2df708792dbfb7dc9d,4580.163
dbd3541dff89c7206c6e08e9e69e3b30,4580.163
dbd3541dff89c7206c6e08e9e69e3b30,4580.163
dbd3541dff89c7206c6e08e9e69e3b30,4580.163
dbd3541dff89c7206c6e08e9e69e3b30,4580.163
be363d8126866a0e10b6263acda05d05,4580.163
be363d8126866a0e10b6263acda05d05,4580.163
be363d8126866a0e10b6263acda05d05,4580.163
be363d8126866a0e10b6263acda05d05,4580.163
f09b6fc26ea7e088993745f990926858,4580.163
f09b6fc26ea7e088993745f990926858,4580.163
f09b6fc26ea7e088993745f990926858,4580.163
f09b6fc26ea7e088993745f990926858,4580.163
1853cf027b7777a1c4e303bbea19b585,3128.583
ed8194b0cfd2b6f0d905055f6a7f5fd8,3128.583
ef65876f3f337251a76d26879982136f,3128.583
0a681a255d1f2505bcc7022ac8c69787,2820.138
cdb7e027a983b76398ae8253f77e57d8,2820.138
7767dd1b845657c868ad8ff73e07f50d,4074.493
87d3edd9c535557b43850a1ede18c53a,4074.493
