signature_index,total_director_comp
f4248a62b1c77ce3e462dd3e0aea2070,4232.5
f4248a62b1c77ce3e462dd3e0aea2070,4232.5
f4248a62b1c77ce3e462dd3e0aea2070,4232.5
f4248a62b1c77ce3e462dd3e0aea2070,4232.5
429947c741bb91ad9d51d2feebc97608,4232.5
429947c741bb91ad9d51d2feebc97608,4232.5
429947c741bb91ad9d51d2feebc97608,4232.5
429947c741bb91ad9d51d2feebc97608,4232.5
c43d889cad1fe733e90b8ba8f723f27f,4232.5
c43d889cad1fe733e90b8ba8f723f27f,4232.5
c43d889cad1fe733e90b8ba8f723f27f,4232.5
c43d889cad1fe733e90b8ba8f723f27f,4232.5
a8c61f53f23c95723886a1de16dbe8ba,1399.671
764729aa4c3670ec227f226719da0075,2824.147
a4a3c780fec19c46223ce81e0e7cf023,2824.147
6c953f12aa464d28a7a760dd73479f19,2824.147
f041382de777386dad68aee1c63ef206,2591.743
10926b945c20d420d180a76ec4d3c4f7,2591.743
b81484bbce150450e28f63c002137797,3502.192
2befdadac6ebdbfe0884c104ef66f656,3502.192
7d405a1a2808fdb003bea9ae6afb8e36,3502.192
4249a94f8414b407a43a557cdc3a20c5,2447.328
b9f87608ad65b8dbbf3c856be422c72d,4741.353
4e919a24029fac5f380afcbd934131db,2422.75
a7eedb348e1d44bcf3e1c21b68226a73,2422.75
34e0a0cefc048a7a933a8366e464730f,2422.75
c292a2b8f3d0266029dc586a722b2298,6237.05
a011b68973c4f7d77b60e6b537aaf4fd,6237.05
a1ed542156e38d08e791617446a80663,6237.05
929c81f6ed267348b09a1c297cda2334,6881.837
41997f17c9b90a2dbf66f91443c7fbe1,6881.837
9103e8921e38740200f53062addeb7bc,6881.837
42bdd07250fdf8dc6d7cba9ac1c40ccc,2308.698
4f99f4f2029139aed36b6e674da4279e,2308.698
b9d371266abb12e4cfea7b4f9ad63263,2308.698
05fa8e25bfdd309f720948b9be828104,3299.333
e11bf0a62a7bc731f439ee9e6c67f129,3299.333
e51ce1338c828865a3223b91bd35764c,2676.08
7cdeb8a5853aa1ef9c172f33919a79e4,3584.135
58af951fcf71ac11c78a3c060e8ab08e,3584.135
6bfe069d57c81e1437a53aa9c2cad4ca,3584.135
ff432a2b023e0e63c3135026717542a3,1913.61
cb82a057158fc890c28f1123142e4f65,1913.61
8ecc20406759b4b32143d23d67a44bea,3259.442
fb3394474880f9bfceba701ae6aa8173,3259.442
84589ce3f5998cfccfd38da02c758de6,3259.442
526425dd86c4bad348528956104c72f5,2118.884
91773a44de87840b468c6d969adeced5,2118.884
b5e89784bae70945d0da78777b0eb71c,2118.884
909586971e460e76d1b8a75ae850aba4,3693.762
909586971e460e76d1b8a75ae850aba4,3693.762
909586971e460e76d1b8a75ae850aba4,3693.762
909586971e460e76d1b8a75ae850aba4,3693.762
c0143ccf623c558495c6d43044edea09,3693.762
c0143ccf623c558495c6d43044edea09,3693.762
