signature_index,total_director_comp
fe39515e951c0a4f919eee3680e9f35d,3071.659
fe39515e951c0a4f919eee3680e9f35d,3071.659
fe39515e951c0a4f919eee3680e9f35d,3071.659
fe39515e951c0a4f919eee3680e9f35d,3071.659
55b2eae720a2a8f8c6ec8984d7913912,2231.42
b29e524147f940c9121f89c7530ab15d,2231.42
8d77c4fc9978ec10c2316c4ebd12ba5a,4848.138
6bf4ca8d115b4ef3e4ea0b9f74bb3d51,4848.138
4171c69976ae9efa9198b4c6b5db4cf0,4848.138
f6af994bcdb3824530f9bf15270d3a90,1476.942
1562a6502190cc400a23c02dd0d3a589,1476.942
73262e7a2ef955f86dffa57ef9151e47,1476.942
01beafb3a43310e91e3aa18deb6e7264,3240.972
c5a2ef2257a9116f6ed1c1cf725da034,2866.8160000000003
c09f63aa918a4ab5ea6d9fdcf08c7041,2866.8160000000003
0c9aca854ae566d78d2393cd199f7bcb,2866.8160000000003
fbda6480acb13ed466d35fd3d4921e0a,1995.454
bcb026472104706609b5ccab8118f894,1995.454
bb7661ff5ebb590d8ad12126e8d64ebf,1995.454
c86ed1b17f050fdc6b9e12b03c9395d7,2238.964
b31fb19126134063d0dc83e65ae7fcce,2238.964
20337bca4d7fad7315b454976a0620a2,2238.964
7abf6a492e371f2fbea13f4154e078af,2111.828
5d03369a48d2efd68204ee551f48247d,2111.828
e3dfb33f65022fd797228e766f13289c,2111.828
b221ebc41be81375f7e40802c47458c5,2229.535
8a8a63a13db087cb09fcec8710822bd9,2229.535
8e4a73d2b6f8731f9830b52893de5b98,1997.455
8ade25cfb7aa67d834db9300bb871cc4,1997.455
b3756e87fd230a15401876e215eb6ce1,1997.455
10696773db8d15900419db7e76549285,3054.715
10696773db8d15900419db7e76549285,3054.715
10696773db8d15900419db7e76549285,3054.715
10696773db8d15900419db7e76549285,3054.715
ac97d9d8baf72ac569e1ac167e60c055,3054.715
ac97d9d8baf72ac569e1ac167e60c055,3054.715
ac97d9d8baf72ac569e1ac167e60c055,3054.715
ac97d9d8baf72ac569e1ac167e60c055,3054.715
ebd9e4f56022452f599eb38a69f03f66,3054.715
ebd9e4f56022452f599eb38a69f03f66,3054.715
ebd9e4f56022452f599eb38a69f03f66,3054.715
ebd9e4f56022452f599eb38a69f03f66,3054.715
cab3ae326220a2fe9fcacfaa89939f03,3054.715
cab3ae326220a2fe9fcacfaa89939f03,3054.715
cab3ae326220a2fe9fcacfaa89939f03,3054.715
cab3ae326220a2fe9fcacfaa89939f03,3054.715
fcf2319f8aed3678087b85eca9476f05,3054.715
fcf2319f8aed3678087b85eca9476f05,3054.715
fcf2319f8aed3678087b85eca9476f05,3054.715
fcf2319f8aed3678087b85eca9476f05,3054.715
c2266425ebc716de8ae398b11ac268db,3054.715
c2266425ebc716de8ae398b11ac268db,3054.715
c2266425ebc716de8ae398b11ac268db,3054.715
c2266425ebc716de8ae398b11ac268db,3054.715
cf0b4ba4a09571946730c0103a51ab7d,2552.377
9b4a194e61763e376c29e927db11798e,2552.377
1c1ef199bdb6214132a2eec8095cc866,2552.377
2257fdd87c2da620d3e1ee4bb971436c,2847.982
eb40a8f57fea0139c97ee61623941d62,2847.982
7e2d1a8ea1bc2ff9df463c0606dc3bbb,2847.982
c10784d79671b48dd0b287a7115222c7,3025.881
9a04235a3d42f2bedab2dc36bf0b2bd9,3025.881
07a431a6691f8bfc75b52408055f1248,3025.881
f1de142150e0530c634decf418e1d5fe,134.625
bf40e9fea803f6e1f24ba3ced2c09925,3070.071
4cc93b982c79311c7051e3dc277593a5,3070.071
3c8e7d4821c5479db90715df7aecaf9a,3070.071
2833c85aae83e4646f4caa28185ed058,2561.16
85f00dda5b121cf3cd408b36c3f0ca20,2561.16
41620d2e655b69c915fc21eb5a60de08,2561.16
4d065f9ad1df64c2586824fd262144a3,1437.515
bd28022d38ce9bacec3af0fe48fb7aa5,1437.515
14e585c62117e907f0a7fe105306ba40,4959.691
14e585c62117e907f0a7fe105306ba40,4959.691
14e585c62117e907f0a7fe105306ba40,4959.691
14e585c62117e907f0a7fe105306ba40,4959.691
42e2bc55903a966e3e59d6b547e57ee8,4959.691
42e2bc55903a966e3e59d6b547e57ee8,4959.691
42e2bc55903a966e3e59d6b547e57ee8,4959.691
42e2bc55903a966e3e59d6b547e57ee8,4959.691
301af40f69d3813d1c7b88fa38ed30b9,2564.34
bfc829eb936674e1a5d3d7e4bf01cc24,2564.34
e3be3c7330cc56b6eb545b0a4ced66f8,2564.34
16a9f731778579769cdce992106acd2a,3461.341
864d348852d5f20da354fd9c7ff5cb4b,3461.341
a9d5b8bf828c9033bb259f5e9bdc4a6c,3461.341
5538f2234437521337f28187ef18f893,1267.191
4d0207fc278857e30e0d5a8605a56e80,1267.191
c01acd914a594b18c67d0ddba2850199,2482.737
7910098055769e7dad0e7827c86332bd,2482.737
e7b821700ae9422a934450055ed6fe45,2482.737
9bfd1ee2d59899eb54b71c3ba77ad631,3163.514
dff34bb936adc9fc3ad22c30b4c6bc69,3163.514
32d6eeca1517643e30ee6727646305f2,3163.514
4ead03c43f639653ff2af4437334cb8a,2910.632
b6f3493cc3f6797a00c75c9b28ae072d,2910.632
c014eda9d0dfe9afc53ded4ddd7977f1,2910.632
6eec8402eb7310486f64f394c06fd01f,1690.645
cf62aac95db7d8d9251645f876757e5f,1690.645
97e656edf9bc4592c86c3186cb094a75,1690.645
09a6fe2854d014f882cb4c78dbba7461,754.635
78a6f75d8182acae1e58f02b646a308a,754.635
35686767ec2ada0d3c5f653dfb830b4e,1935.0
da13f350690f6b21b13ef044bda305a7,1935.0
b5b67aff15afd0577ba277567972cc2a,1935.0
39e7d155cdec0f2caabd1a3324baa961,2544.489
f6dc826b4447dd22acf2393d4357e4c5,2893.948
7021043414ace0c3591091e2ec9b53c5,2893.948
59ba741b9aec527550f20226ec627064,2893.948
3d0df1e96ac788c3020329a942b71f1c,3280.775
3d0df1e96ac788c3020329a942b71f1c,3280.775
3d0df1e96ac788c3020329a942b71f1c,3280.775
3d0df1e96ac788c3020329a942b71f1c,3280.775
c2a964f93e6f78ab339a5837d8345c7c,3280.775
c2a964f93e6f78ab339a5837d8345c7c,3280.775
c2a964f93e6f78ab339a5837d8345c7c,3280.775
c2a964f93e6f78ab339a5837d8345c7c,3280.775
f555e940eee62b2d034674481e084875,3280.775
f555e940eee62b2d034674481e084875,3280.775
f555e940eee62b2d034674481e084875,3280.775
f555e940eee62b2d034674481e084875,3280.775
ea5f8ce938632abea7f84927504fb6de,3280.775
ea5f8ce938632abea7f84927504fb6de,3280.775
ea5f8ce938632abea7f84927504fb6de,3280.775
ea5f8ce938632abea7f84927504fb6de,3280.775
edc60937be90b832d894cca73ae23db7,3246.7490000000003
a0c093d560fad9207d0980b39bbcfdd7,3246.7490000000003
3bff0d78f2b513e4b8a015195d0ff3c8,1374.87
3bff0d78f2b513e4b8a015195d0ff3c8,1374.87
3bff0d78f2b513e4b8a015195d0ff3c8,1374.87
3bff0d78f2b513e4b8a015195d0ff3c8,1374.87
2e1e604ec617fa12d42b7e5e82dc35a8,1374.87
2e1e604ec617fa12d42b7e5e82dc35a8,1374.87
2e1e604ec617fa12d42b7e5e82dc35a8,1374.87
2e1e604ec617fa12d42b7e5e82dc35a8,1374.87
df7fc62fb1db0656eaa5ea05bb1c8f1e,1374.87
df7fc62fb1db0656eaa5ea05bb1c8f1e,1374.87
df7fc62fb1db0656eaa5ea05bb1c8f1e,1374.87
df7fc62fb1db0656eaa5ea05bb1c8f1e,1374.87
45cfc8c0636a4f41746b91ed4c0aa4e1,1374.87
45cfc8c0636a4f41746b91ed4c0aa4e1,1374.87
45cfc8c0636a4f41746b91ed4c0aa4e1,1374.87
45cfc8c0636a4f41746b91ed4c0aa4e1,1374.87
ce9968133ff56b85ec59d5bb3a873350,1374.87
ce9968133ff56b85ec59d5bb3a873350,1374.87
ce9968133ff56b85ec59d5bb3a873350,1374.87
ce9968133ff56b85ec59d5bb3a873350,1374.87
19f992df8c79f31ac16a5cf012add343,1374.87
19f992df8c79f31ac16a5cf012add343,1374.87
19f992df8c79f31ac16a5cf012add343,1374.87
19f992df8c79f31ac16a5cf012add343,1374.87
a47d9ac6cf3320c7bc38d75bf31d3d66,4232.5
a47d9ac6cf3320c7bc38d75bf31d3d66,4232.5
a47d9ac6cf3320c7bc38d75bf31d3d66,4232.5
a47d9ac6cf3320c7bc38d75bf31d3d66,4232.5
f4248a62b1c77ce3e462dd3e0aea2070,4232.5
