tic,fyear,roa,EBITDA_margin,NI_rev,roe,eps,chng_price,div_yield,vol,mva,tobinsQ,asset_g,revenue_g,ni_g,employee_g
GILD,2019,0.08739675791455044,0.28914428259610675,0.23992160007127267,0.23911209766925637,4.25434439178515,0.06285331073269096,0.038781163434903045,0.21259996229602943,59739.67999999999,1.9693751115582454,-0.03216332940714561,0.014552356849098391,-0.012648945921173271,0.07272727272727275
ROP,2010,0.06363122060374898,0.2660067926400772,0.1351906364831156,0.11726314266531002,3.3924364798923103,0.4723677442230956,0.0049718696846787905,0.24180702822997313,4516.6687999999995,1.8909453510822711,0.17140324640874582,0.16414560797163236,0.34699621264317426,0.05228758169934644
ROP,2011,0.08031838827450452,0.284302358630705,0.15274701663050408,0.13371961280662617,4.419278429425516,0.1336297362764327,0.005065039714515943,0.3067859354499118,5203.321900000001,1.978175213561937,0.049293188078407324,0.17223709532494702,0.32446834893669796,0.06459627329192541
ROP,2012,0.06835707691472223,0.3055909007850037,0.1614704446884555,0.1310726447680766,4.90203237191189,0.24405039308357312,0.006413706494438464,0.18564726958044664,7304.6479,2.0330279288778668,0.32930056056894963,0.07021585655658447,0.13133620598857343,0.10560093348891475
ROP,2013,0.06576594374501298,0.3210240608153847,0.1662358622018648,0.12776800655107345,5.420221121314645,0.2150957440874648,0.003569368329968272,0.17542628017903555,9559.538199999999,2.1679365120090077,0.15752518984305697,0.08172370100574944,0.1136482125124132,0.04622691292876002
ROP,2014,0.07679045146437617,0.3372207418860266,0.18200706917662066,0.13585364725278423,6.452200227713082,0.1530891191031698,0.005116725295810681,0.17552184670299084,10899.340100000001,2.2955456562478678,0.027850156280142757,0.09615617418459066,0.20015121876004338,0.02259659033592265
ROP,2015,0.06845417134416398,0.3463054744102758,0.19430213586162332,0.13135949463166927,6.900634480023792,0.2242489226733324,0.005268981505874915,0.192494394894169,13845.170300000002,2.361592576584338,0.20865859639455153,0.009269208512537208,0.0774480560590558,0.06599585676235553
ROP,2016,0.04597894285953429,0.3428199766486144,0.17378839950658653,0.11377791674188291,6.478135573215831,-0.011762258950010818,0.0065545116888791775,0.20208083594243792,12825.244799999999,1.8953096068133544,0.4087738785930679,0.05793051854974118,-0.05376206600801359,0.30992041458449004
ROP,2017,0.06787817590900738,0.33722556257000863,0.21091223363098763,0.14158416822513784,9.481349945849962,0.40965572913353476,0.005405405405405405,0.13478514456943488,19682.123,2.374794300779113,-0.000594348578530246,0.21571561442508735,0.47541088143081645,0.005722359590250914
ROP,2018,0.061929899340962,0.3394976113422716,0.18192325473878873,0.12203915487497577,9.133462282398451,0.01853499774127254,0.006190904997748762,0.2409605047259622,19819.668,2.299692973540116,0.06517603257184601,0.1266918446149743,-0.028167100924908373,0.09658611969654407
