,GVKEY_x,TICKER,AGE,TDC1,YEAR,BECAMECEO,STOCK_AWARDS_x,STOCK_AWARDS_y,ownershipRatio,ownershipPower,yearServed,prestiegePower,size_category_x,MKVALT_x
4025,141913,GPN,60.0,6897.496,2011,2001-02-01,4711.198,125.0,7.083166197081456,1,10.0,1,Small,3336.8465
4026,141913,GPN,61.0,6848.17,2012,2001-02-01,4544.072,0.0,6.831896512841176,1,11.0,1,Small,3617.431
4027,141913,GPN,47.0,6060.507,2013,2013-10-01,3825.841,0.0,5.7520544979447505,1,0.0,0,Small,4720.0818
4028,141913,GPN,48.0,10205.547,2014,2013-10-01,6045.511,140.0,9.089271807146316,1,1.0,0,Small,6813.822
4029,141913,GPN,49.0,5977.74,2016,2013-10-01,3506.376,90.417,5.271747007333949,0,3.0,0,Medium,10563.2303
4030,141913,GPN,50.0,9135.783,2017,2013-10-01,4500.048,155.0,6.7657075501483925,1,4.0,0,Medium,15956.2032
4031,141913,GPN,51.0,16818.56,2018,2013-10-01,9950.022,155.0,14.959604646337688,1,5.0,0,Medium,16290.6211
4032,141913,GPN,52.0,20502.096,2019,2013-10-01,14045.285,32.087,21.116728259006564,1,6.0,1,Medium,54809.2586
4033,142953,MDLZ,56.0,13475.794,2010,2006-06-26,7394.668,125.011,5.377467146527469,0,4.0,0,Medium,55081.5912
4034,142953,MDLZ,57.0,15737.804,2011,2006-06-26,7754.472,125.049,5.6391197574613425,1,5.0,0,Medium,66048.6319
4035,142953,MDLZ,58.0,22034.929,2012,2006-06-26,15459.506,125.009,11.242287769585365,1,6.0,1,Medium,45255.6878
4036,142953,MDLZ,59.0,13994.78,2013,2006-06-26,8314.229,145.006,6.0461799361656166,1,7.0,1,Medium,60200.5141
4037,142953,MDLZ,60.0,15919.544,2014,2006-06-26,8185.127,145.026,5.952295834330215,1,8.0,1,Medium,60431.7593
4038,142953,MDLZ,61.0,18255.748,2015,2006-06-26,9750.685,0.0,7.090783283798298,1,9.0,1,Medium,70848.6797
4039,142953,MDLZ,62.0,15840.326,2016,2006-06-26,8031.797,120.027,5.8407929193140085,1,10.0,1,Medium,67752.4648
4040,142953,MDLZ,63.0,15307.54,2017,2006-06-26,8157.425,175.044,5.932150698011302,1,11.0,1,Medium,63692.2208
4041,142953,MDLZ,57.0,14969.9,2018,2017-11-20,7947.822,175.034,5.779725565968376,1,1.0,0,Medium,58083.53
4042,142953,MDLZ,58.0,18378.146,2019,2017-11-20,9510.317,175.03,6.915985575087573,1,2.0,0,Medium,79040.1305
4043,143356,PRU,56.0,15577.028,2010,2008-01-01,6107.529,112.5,4.837646732673267,0,2.0,0,Medium,28403.8393
4044,143356,PRU,57.0,14695.076,2011,2008-01-01,3345.931,120.0,2.6502423762376237,0,3.0,0,Medium,23558.3547
4045,143356,PRU,58.0,15124.783,2012,2008-01-01,3656.091,120.0,2.8959136633663367,0,4.0,0,Medium,24800.2099
4046,143356,PRU,59.0,16741.287,2013,2008-01-01,3371.094,120.0,2.6701734653465348,0,5.0,0,Medium,42702.9321
4047,143356,PRU,60.0,17233.75,2014,2008-01-01,4879.579,0.0,3.8650130693069307,0,6.0,1,Medium,41144.1932
4048,143356,PRU,61.0,16673.171,2015,2008-01-01,4844.396,150.0,3.8371453465346534,0,7.0,1,Medium,36398.4924
4049,143356,PRU,62.0,17610.136,2016,2008-01-01,5285.346,150.0,4.186412673267326,0,8.0,1,Medium,44701.4704
4050,143356,PRU,63.0,19139.319,2017,2008-01-01,6284.606,150.0,4.977905742574257,0,9.0,1,Medium,48585.029
4051,143356,PRU,64.0,25481.37,2018,2008-01-01,11029.456,0.0,8.736202772277228,1,10.0,1,Medium,33493.5636
4052,143356,PRU,61.0,14007.264,2019,2018-12-01,4980.009,0.0,3.944561584158416,0,1.0,0,Medium,37386.5117
4053,143357,ACN,56.0,15315.546,2010,2004-09-01,10999.987,164.963,7.408416375044114,1,6.0,1,Medium,22876.3908
4054,143357,ACN,52.0,9784.184,2011,2011-01-01,5224.905,164.969,3.5189379551130258,0,0.0,0,Medium,34374.4481
4055,143357,ACN,53.0,12290.094,2012,2011-01-01,7579.949,184.954,5.10504405992473,0,1.0,0,Medium,39016.1464
4056,143357,ACN,54.0,14786.395,2013,2011-01-01,10481.421,184.96,7.0591657035714,1,2.0,0,Medium,45954.1068
4057,143357,ACN,55.0,15925.463,2014,2011-01-01,11899.93,184.965,8.014521860242082,1,3.0,0,Medium,50946.1289
4058,143357,ACN,56.0,15776.214,2015,2011-01-01,11696.292,184.937,7.877373053267925,1,4.0,0,Medium,59079.1033
4059,143357,ACN,57.0,18499.843,2016,2011-01-01,13340.225,184.943,8.984550739630226,1,5.0,0,Medium,71377.395
4060,143357,ACN,58.0,19804.109,2017,2011-01-01,15736.152,184.941,10.598191266679061,1,6.0,1,Medium,80490.2333
4061,143357,ACN,59.0,22299.174,2018,2011-01-01,17399.663,199.892,11.718554602787187,1,7.0,1,Medium,108041.6475
4062,143357,ACN,58.0,15031.875,2019,2019-01-10,11614.219,209.932,7.822097446383207,1,0.0,0,Medium,125991.3336
4063,144009,WTW,55.0,8931.395,2013,2013-01-07,3937.49,99.988,3.5800733746425597,0,0.0,0,Small,8014.7614
4064,144009,WTW,56.0,9132.668,2014,2013-01-07,4467.978,99.967,4.062407542949624,0,1.0,0,Small,8007.5918
4065,144009,WTW,57.0,9013.163,2015,2013-01-07,4151.258,99.98868,3.7744370746521065,0,2.0,0,Small,8829.4432
4066,144009,WTW,66.0,28192.776,2016,2016-01-04,24641.432,130.0,22.40466251755945,1,0.0,0,Medium,16666.3972
4067,144009,WTW,67.0,3943.698,2017,2016-01-04,0.0,150.0,0.0,0,1.0,0,Medium,19912.1766
4068,144009,WTW,68.0,4991.828,2018,2016-01-04,0.0,150.0,0.0,0,2.0,0,Medium,19578.0949
4069,144009,WTW,69.0,18510.716,2019,2016-01-04,12544.351,160.0,11.405666304491128,1,3.0,0,Medium,25987.6586
4070,144559,ZBH,46.0,8972.91,2010,2007-05-01,3637.854,155.52,3.4840005363162727,0,3.0,0,Medium,10499.808
4071,144559,ZBH,47.0,8236.034,2011,2007-05-01,3277.71,178.06,3.1390878792522217,0,4.0,0,Small,9508.76
4072,144559,ZBH,48.0,7495.671,2012,2007-05-01,2850.098,176.275,2.72956060373889,0,5.0,0,Medium,11438.856
4073,144559,ZBH,49.0,7577.773,2013,2007-05-01,2850.024,194.715,2.729489733374195,0,6.0,1,Medium,15823.662
4074,144559,ZBH,50.0,8061.82,2014,2007-05-01,2999.891,181.575,2.8730185029114312,0,7.0,1,Medium,19247.374
4075,144559,ZBH,51.0,10335.875,2015,2007-05-01,3749.949,185.105,3.5913547732148325,0,8.0,1,Medium,20794.993
4076,144559,ZBH,52.0,10603.793,2016,2007-05-01,3750.023,187.62,3.591425643579528,0,9.0,1,Medium,20701.92
4077,144559,ZBH,53.0,8777.22,2017,2007-05-01,3750.015,190.87,3.5914179819184797,0,10.0,1,Medium,24447.742
4078,144559,ZBH,51.0,9710.434,2018,2017-12-19,3550.035,186.86,3.399895609868219,0,1.0,0,Medium,21158.88
4079,144559,ZBH,52.0,11176.72,2019,2017-12-19,4149.957,190.29,3.974445487281643,0,2.0,0,Medium,30834.08
4080,145046,ELV,49.0,17045.405,2010,2007-06-01,5404.433,249.954,1.8018091995593855,0,3.0,0,Medium,21478.1258
4081,145046,ELV,50.0,13219.329,2011,2007-06-01,8000.009,249.938,2.667160424184716,0,4.0,0,Medium,22483.4613
4082,145046,ELV,51.0,12741.428,2012,2007-06-01,8000.054,174.962,2.6671754269452244,0,5.0,0,,
4083,145046,ELV,61.0,16979.927,2013,2013-03-25,7900.056,0.0,2.6338366259391726,0,0.0,0,,
4084,145046,ELV,62.0,13532.549,2014,2013-03-25,7500.081,174.99,2.5004870896244906,0,1.0,0,Medium,33693.3837
4085,145046,ELV,63.0,13604.681,2015,2013-03-25,7800.073,174.987,2.6005028258532903,0,2.0,0,Medium,36427.0267
4086,145046,ELV,64.0,16455.697,2016,2013-03-25,8906.253,174.997,2.969297350712531,0,3.0,0,,
4087,145046,ELV,65.0,18553.317,2017,2013-03-25,9606.879,174.923,3.202882330348784,0,4.0,0,,
4088,145046,ELV,57.0,14184.276,2018,2017-11-20,7687.717,174.997,2.563043933417082,0,1.0,0,,
4089,145046,ELV,58.0,15473.139,2019,2017-11-20,8362.743,194.763,2.7880940092977107,0,2.0,0,Medium,76390.0317
4090,145552,CNC,67.0,7945.72,2010,1996-05-04,3649.5,100.0,2.3749452548925696,0,14.0,1,Small,1257.2948
4091,145552,CNC,68.0,10473.912,2011,1996-05-04,5365.5,112.923,3.4916478326143534,0,15.0,1,,
4092,145552,CNC,69.0,8474.744,2012,1996-05-04,6858.0,179.44,4.462905756419576,0,16.0,1,Small,2145.489
4093,145552,CNC,70.0,14512.938,2013,1996-05-04,10020.3,181.4,6.52080118854638,1,17.0,1,Small,3261.0551
4094,145552,CNC,71.0,19300.387,2014,1996-05-04,13930.0,171.87,9.06507395551541,1,18.0,1,,
4095,145552,CNC,72.0,20755.103,2015,1996-05-04,12331.2,345.999,8.024640341726608,1,19.0,1,Small,7919.7728
4096,145552,CNC,73.0,21968.983,2016,1996-05-04,12829.5,350.581,8.348913590257355,1,20.0,1,Small,9715.1427
4097,145552,CNC,74.0,25259.468,2017,1996-05-04,16137.6,215.97,10.501689695945837,1,21.0,1,Medium,17496.3246
4098,145552,CNC,75.0,26122.414,2018,1996-05-04,17001.262,212.847,11.063725582705947,1,22.0,1,Medium,23779.3567
4099,145552,CNC,76.0,26438.425,2019,1996-05-04,16999.987,158.664,11.062895864881593,1,23.0,1,,
4100,145701,PFG,59.0,7708.101,2010,2008-05-01,1999.988,95.014,2.2061724663611835,0,2.0,0,Medium,10432.224
4101,145701,PFG,60.0,6044.961,2011,2008-05-01,1799.986,95.001,1.9855516898279397,0,3.0,0,,
4102,145701,PFG,61.0,7004.498,2012,2008-05-01,2249.99,114.992,2.481947885481312,0,4.0,0,Small,8379.176
4103,145701,PFG,62.0,7992.95,2013,2008-05-01,2428.124,114.992,2.678446227532756,0,5.0,0,Medium,14556.312
4104,145701,PFG,63.0,9369.5,2014,2008-05-01,3000.004,114.998,3.3092829675845135,0,6.0,1,,
4105,145701,PFG,64.0,8754.373,2015,2008-05-01,2999.982,129.99,3.309258699541775,0,7.0,1,Medium,13107.172
4106,145701,PFG,54.0,7701.151,2016,2015-08-18,2000.017,129.985,2.206204456053884,0,1.0,0,,
4107,145701,PFG,55.0,9406.127,2017,2015-08-18,2474.976,73.23,2.730128333822371,0,2.0,0,,
4108,145701,PFG,56.0,10464.362,2018,2015-08-18,3375.009,164.95,3.72294830245041,0,3.0,0,,
4109,145701,PFG,57.0,41470.435,2019,2015-08-18,3487.482,164.964,3.8470164647639047,0,4.0,0,,
4110,145977,AAP,45.0,5966.206,2010,2008-01-07,712.502,120.0,0.6418936936936936,0,2.0,0,Small,5421.3894
4111,145977,AAP,46.0,4169.193,2011,2008-01-07,687.5,120.0,0.6193693693693694,0,3.0,0,Small,5068.9944
4112,145977,AAP,47.0,3506.734,2012,2008-01-07,687.505,100.023,0.6193738738738739,0,4.0,0,Small,5309.2601
4113,145977,AAP,48.0,4282.935,2013,2008-01-07,1375.028,300.085,1.238763963963964,0,5.0,0,Small,8061.9312
4114,145977,AAP,49.0,4303.71,2014,2008-01-07,1625.16,779.758,1.4641081081081082,0,6.0,1,Medium,11639.2267
4115,145977,AAP,50.0,7362.643,2015,2008-01-07,2282.116,166.667,2.0559603603603605,0,7.0,1,Medium,11034.4901
4116,145977,AAP,58.0,22820.768,2016,2016-04-11,12700.097,145.833,11.44152882882883,1,0.0,0,Medium,12472.4309
4117,145977,AAP,59.0,6051.682,2017,2016-04-11,5000.129,125.0,4.5046207207207205,0,1.0,0,Small,7370.6798
4118,145977,AAP,60.0,8856.135,2018,2016-04-11,5210.628,155.0,4.6942594594594595,0,2.0,0,Medium,11409.5516
4119,145977,AAP,61.0,7691.513,2019,2016-04-11,5547.466,155.0,4.9977171171171175,0,3.0,0,Medium,11088.1971
