Unnamed: 0,GVKEY,TICKER,CEOANN,SALARY,BONUS,STOCK_AWARDS,OPTION_AWARDS,OTHCOMP,TOTAL_CURR,AGE,TDC1,YEAR,BECAMECEO,JOINED_CO,LEFTOFC,GENDER,CUSIP,NAICSDESC,SIC,MKVALT,size_category,signature_index
936,5047,GE,CEO,3300.0,4500.0,0.0,0.0,574.507,7800.0,55.0,20592.769,2012,2001-01-01,1982-01-01,2017-07-31,MALE,36960430,Conglomerates,9997,218414.0688,Large,1cef891e10173fce9ebc0c16f833cd80
937,5047,GE,CEO,3466.667,5000.0,7777.191,0.0,423.783,8466.667,56.0,19202.302,2013,2001-01-01,1982-01-01,2017-07-31,MALE,36960430,Conglomerates,9997,282006.4944,Large,a7c41b2aa7f139e4d65d9893edcf4efe
938,5047,GE,CEO,3750.0,5400.0,3676.157,2565.0,806.634,9150.0,57.0,18855.141,2014,2001-01-01,1982-01-01,2017-07-31,MALE,36960430,Conglomerates,9997,254149.9926,Large,dae8c0a29eb886f096b19be2ad6959b4
939,5047,GE,CEO,3800.0,5400.0,6238.766,2964.0,620.376,9200.0,58.0,26831.472,2015,2001-01-01,1982-01-01,2017-07-31,MALE,36960430,Conglomerates,9997,292164.8212,Large,10422c2b157d05869c445593aa3b45b3
940,5047,GE,CEO,3800.0,4320.0,4673.098,2142.0,1185.138,8120.0,59.0,17962.122,2016,2001-01-01,1982-01-01,2017-07-31,MALE,36960430,Conglomerates,9997,276266.6024,Large,0d1b721ca244255e0379946922d09505
1066,5680,HD,CEO,1300.0,0.0,5955.804,1459.987,81.893,1300.0,59.0,11525.085,2017,2014-11-01,,2022-03-01,MALE,43707610,Home Centers,5211,232642.2,Large,de4410497ce6e281a42370706d8ba4c2
1067,5680,HD,CEO,1325.0,0.0,6058.925,1459.983,76.068,1325.0,60.0,11147.505,2018,2014-11-01,,2022-03-01,MALE,43707610,Home Centers,5211,202800.65,Large,f4939ff39d354c12eb9dd88e6c04b824
1068,5680,HD,CEO,1300.0,0.0,5961.431,1459.996,97.934,1300.0,61.0,10768.09,2019,2014-11-01,,2022-03-01,MALE,43707610,Home Centers,5211,245663.7,Large,37859b107ed6fa7d3f27653ba74a99c6
1136,6008,INTC,CEO,1380.0,0.0,13076.9,0.0,1860.8,1380.0,57.0,21527.7,2017,2013-05-16,,2018-06-21,MALE,45814010,Semiconductor and Related Device Manufacturing,3674,216351.92,Large,8c895d749c800e9402b6ca917f5ae7e0
1137,6008,INTC,CEO,898.0,2500.0,10898.2,0.0,170.5,3398.0,58.0,16706.7,2018,2018-06-01,,2021-02-15,MALE,45814010,Semiconductor and Related Device Manufacturing,3674,211935.88,Large,d70758e0ddda211cfc4e372fed0c940b
1138,6008,INTC,CEO,1227.3,0.0,44622.6,17100.0,303.1,1227.3,59.0,66935.1,2019,2018-06-01,,2021-02-15,MALE,45814010,Semiconductor and Related Device Manufacturing,3674,256756.5,Large,f3539bb92a5b975a1f1645d168b50207
1140,6066,IBM,CEO,1800.0,0.0,14307.565,0.0,1614.3,1800.0,60.0,24221.865,2011,2002-01-01,1973-01-01,2012-01-01,MALE,45920010,Web Search Portals and All Other Information Servi,7370,213886.09,Large,bc08b66642958a663cb9ef0bd3092161
1141,6066,IBM,CEO,1500.0,0.0,9259.0,0.0,687.725,1500.0,53.0,15361.725,2012,2012-01-01,,2020-01-01,FEMALE,45920010,Web Search Portals and All Other Information Servi,7370,214031.8404,Large,ec6c29b908eb2453c23fccca1a669094
1192,6266,JNJ,CEO,1453.846,0.0,5988.975,2669.999,191.779,1453.846,53.0,15171.96,2013,2012-04-26,,2022-01-03,MALE,47816010,Pharmaceutical Preparation Manufacturing,2834,258341.3185,Large,f0e6ffffb6d8ba4dbae0c78ac55b49f6
1193,6266,JNJ,CEO,1500.0,0.0,9467.38,4168.139,228.866,1500.0,54.0,20383.164,2014,2012-04-26,,2022-01-03,MALE,47816010,Pharmaceutical Preparation Manufacturing,2834,291041.6291,Large,ea8f86b7d566069953fd2947fcdacb9b
1194,6266,JNJ,CEO,1613.462,0.0,10693.427,4562.998,202.175,1613.462,55.0,21081.598,2015,2012-04-26,,2022-01-03,MALE,47816010,Pharmaceutical Preparation Manufacturing,2834,283010.2406,Large,43ac46f6c4ab53ca9647977887dca74f
1195,6266,JNJ,CEO,1600.0,0.0,10608.901,4118.398,228.094,1600.0,56.0,31816.85,2016,2012-04-26,,2022-01-03,MALE,47816010,Pharmaceutical Preparation Manufacturing,2834,311817.1323,Large,6e45009e8c8a40d7c84e6cd6d26e5743
1196,6266,JNJ,CEO,1600.0,0.0,12354.361,5054.398,236.279,1600.0,57.0,22843.42,2017,2012-04-26,,2022-01-03,MALE,47816010,Pharmaceutical Preparation Manufacturing,2834,374802.393,Large,1e324fec4f083411acdd5f0e85799ff9
1197,6266,JNJ,CEO,1642.308,0.0,10319.463,4305.594,259.71,1642.308,58.0,18662.346,2018,2012-04-26,,2022-01-03,MALE,47816010,Pharmaceutical Preparation Manufacturing,2834,343572.9122,Large,1e99417f6571c699ae0532e6f1bfa59d
1198,6266,JNJ,CEO,1650.0,0.0,9956.365,4049.997,243.444,1650.0,59.0,19590.777,2019,2012-04-26,,2022-01-03,MALE,47816010,Pharmaceutical Preparation Manufacturing,2834,384003.7961,Large,85b890d45849841a3a704cbab19d0cc4
1458,7257,MRK,CEO,1659.482,0.0,11425.398,4500.763,375.485,1659.482,64.0,22570.328,2019,2011-01-01,,2021-06-30,MALE,58933Y10,Pharmaceutical Preparation Manufacturing,2834,230923.5962,Large,3da8b7757ba19dfec788eb31dd16560e
1513,7647,BAC,CEO,1500.0,0.0,13752.0,0.0,192.665,1500.0,57.0,15507.6,2016,2010-01-01,2004-04-01,,MALE,06050510,Commercial Banking,6020,222163.0346,Large,81e9893b626bbc28cf329610cf11522a
1514,7647,BAC,CEO,1500.0,0.0,19524.73,0.0,260.264,1500.0,58.0,21355.481,2017,2010-01-01,2004-04-01,,MALE,06050510,Commercial Banking,6020,303681.155,Large,429733e1a72e9056a9c0c1bcd7445639
1515,7647,BAC,CEO,1500.0,0.0,20552.088,0.0,382.263,1500.0,59.0,22513.296,2018,2010-01-01,2004-04-01,,MALE,06050510,Commercial Banking,6020,238251.207,Large,18a4181363a12fd3f372e899cba466ff
