GVKEY,TICKER,TOTAL_SEC,OTHCOMP,NONEQ_INCENT,CASH_FEES,STOCK_AWARDS,OPTION_AWARDS,SPCODE,CUSIP,CONAME,YEAR,YEAR_y,total_director_comp,total_OTHCOMP,total_NONEQ_INCENT,total_CASH_FEES,total_STOCK_AWARDS,total_OPTION_AWARDS,MKVALT,size_category,signature_index
1449,AFL,415.539,16.458,0.0,125.0,77.542,196.539,SP,00105510,AFLAC INC,2018,2010,6346.974,3216.9480000000003,0.0,1404.597,0.0,1488.235,34410.8302,Medium,5c32489c0f6160cda5807401fb9b2e13
1487,AIG,219.99,0.0,0.0,170.0,49.99,0.0,SP,02687478,AMERICAN INTERNATIONAL GROUP,2011,2010,3071.659,0.0,0.0,2472.019,599.64,0.0,44006.2472,Medium,9d4c9444cf75b4aa657f108dd0d138de
1487,AIG,74.175,0.0,0.0,74.175,0.0,0.0,SP,02687478,AMERICAN INTERNATIONAL GROUP,2017,2010,3071.659,0.0,0.0,2472.019,599.64,0.0,53565.1011,Medium,6e0139a7e5978991af1dafc0a75c8de4
1487,AIG,354.11,10.0,0.0,174.135,169.975,0.0,SP,02687478,AMERICAN INTERNATIONAL GROUP,2018,2010,3071.659,0.0,0.0,2472.019,599.64,0.0,34153.0607,Medium,aa689bdaee4ac4dcf3576fa780c05498
1487,AIG,246.918,0.0,0.0,76.923,169.995,0.0,SP,02687478,AMERICAN INTERNATIONAL GROUP,2019,2010,3071.659,0.0,0.0,2472.019,599.64,0.0,44657.0487,Medium,eef5b2b598fb842b81a90703c6200a5e
1598,AME,161.834,0.244,0.0,52.5,56.349,52.741,SP,03110010,AMETEK INC,2013,2010,2231.42,9.098,0.0,560.0,412.904,290.818,12904.466,Medium,f35feee2bb9725af039b8692f3230d30
1598,AME,174.936,0.824,0.0,70.0,58.443,45.669,SP,03110010,AMETEK INC,2014,2010,2231.42,9.098,0.0,560.0,412.904,290.818,12701.4611,Medium,d0851096092edd2c516fa33de892841b
1598,AME,209.112,0.728,0.0,90.0,62.201,56.183,SP,03110010,AMETEK INC,2015,2010,2231.42,9.098,0.0,560.0,412.904,290.818,12621.2489,Medium,c8ab2c82bf859ffbca47c2ba1c058a3a
1598,AME,199.649,0.779,0.0,90.0,59.17,49.7,SP,03110010,AMETEK INC,2016,2010,2231.42,9.098,0.0,560.0,412.904,290.818,11147.8194,Medium,872835e000d3ff4db8326e4093ca9336
1598,AME,232.752,0.993,0.0,90.0,141.759,0.0,SP,03110010,AMETEK INC,2018,2010,2231.42,9.098,0.0,560.0,412.904,290.818,15375.4147,Medium,c8e5e78436588be7f24d1b2491f78d24
1598,AME,261.967,3.03,0.0,100.0,158.937,0.0,SP,03110010,AMETEK INC,2019,2010,2231.42,9.098,0.0,560.0,412.904,290.818,22848.7384,Medium,7004d9e0d3459c1d91540b612582aaba
1602,AMGN,337.149,20.523,0.0,85.75,99.974,130.902,SP,03116210,AMGEN INC,2010,2010,4848.138,434.306,0.0,1187.0,1199.688,2027.144,51166.8,Medium,c8411de6c9f6773f3d2c395937e47bd5
1602,AMGN,271.217,21.038,0.0,82.75,97.981,69.448,SP,03116210,AMGEN INC,2011,2010,4848.138,434.306,0.0,1187.0,1199.688,2027.144,51085.476,Medium,084429350d12cc28b2dd294b7257e94a
1602,AMGN,274.301,16.857,0.0,85.0,99.938,72.506,SP,03116210,AMGEN INC,2012,2010,4848.138,434.306,0.0,1187.0,1199.688,2027.144,65193.06,Medium,08bee67f624edcad92f9e2e978286915
1602,AMGN,335.399,17.438,0.0,118.0,199.961,0.0,SP,03116210,AMGEN INC,2013,2010,4848.138,434.306,0.0,1187.0,1199.688,2027.144,86084.768,Medium,641470599a6f6fba7d2c315ea8fcc346
1602,AMGN,335.389,19.408,0.0,116.0,199.981,0.0,SP,03116210,AMGEN INC,2014,2010,4848.138,434.306,0.0,1187.0,1199.688,2027.144,121124.116,Medium,2873c974735d67f826d940e759508fe8
1602,AMGN,345.795,25.814,0.0,120.0,199.981,0.0,SP,03116210,AMGEN INC,2015,2010,4848.138,434.306,0.0,1187.0,1199.688,2027.144,122396.82,Medium,42e083d42b0f2af948406ddf8d5c2a9a
1602,AMGN,349.498,27.526,0.0,122.0,199.972,0.0,SP,03116210,AMGEN INC,2016,2010,4848.138,434.306,0.0,1187.0,1199.688,2027.144,107932.222,Medium,266eb4e75c7cac2f72d8a3fa09bc3d6b
1602,AMGN,349.883,28.885,0.0,121.0,199.998,0.0,SP,03116210,AMGEN INC,2017,2010,4848.138,434.306,0.0,1187.0,1199.688,2027.144,125590.58,Medium,1bed2a96e47d253c83950d7602a807d7
1602,AMGN,354.475,30.478,0.0,124.0,199.997,0.0,SP,03116210,AMGEN INC,2018,2010,4848.138,434.306,0.0,1187.0,1199.688,2027.144,122564.232,Medium,2f3a2e065eef3427d3368d41f97ca170
1602,AMGN,349.963,32.135,0.0,118.0,199.828,0.0,SP,03116210,AMGEN INC,2019,2010,4848.138,434.306,0.0,1187.0,1199.688,2027.144,142568.798,Medium,58753a968b8837e75b54a32616f28cad
1632,ADI,189.149,0.0,0.0,71.25,59.373,58.526,SP,03265410,ANALOG DEVICES INC,2010,2010,1476.942,0.0,0.0,533.75,474.984,468.208,10055.6465,Medium,072dc85c168fc0f2b85280087a029e9b
1632,ADI,201.048,0.0,0.0,78.0,61.525,61.523,SP,03265410,ANALOG DEVICES INC,2011,2010,1476.942,0.0,0.0,533.75,474.984,468.208,10896.4338,Medium,62011509d23132f82547a10993530ecd
1632,ADI,207.042,0.0,0.0,84.0,61.55,61.492,SP,03265410,ANALOG DEVICES INC,2012,2010,1476.942,0.0,0.0,533.75,474.984,468.208,11790.7295,Medium,ccb60ea92e2fd30237769e0f6622e1fe
